street,area
Омеляновича-Павленка,73.0
,0.0
Ованеса Туманяна,100.0
Петропавлівська,58.0
Дніпровська,79.0
Саксаганського,0.0
Івана Мазепи,0.0
Дніпровська,87.0
Ділова,40.0
Новодарницька,51.0
Ревуцького,48.0
Липківського,85.0
Бендукідзе,76.0
Введенська,56.0
Виноградний,38.0
Кайсарова,70.0
Ахматової,103.0
Радченка,0.0
Дніпровська,69.0
Ділова,0.0
Бориспільська,50.0
Болсуновська,64.0
Українки,96.0
Антонова,46.0
Омеляновича-Павленка,44.0
,100.0
Ованеса Туманяна,240.0
Петропавлівська,0.0
Дніпровська,75.0
Саксаганського,78.0
Івана Мазепи,126.0
Дніпровська,93.0
Ділова,63.0
Новодарницька,44.0
Ревуцького,0.0
Липківського,52.0
Бендукідзе,99.0
Введенська,96.0
Виноградний,65.0
Кайсарова,50.0
Ахматової,76.0
Радченка,0.0
Дніпровська,99.0
Ділова,0.0
Бориспільська,59.0
Болсуновська,73.0
Українки,62.0
Антонова,76.0
Науки,76.0
Метрологічна,210.0
Дружби Народів,33.0
*** not found,0.0
Драгомирова,62.0
Данченка,0.0
Кримська,110.0
Новопольова,51.0
Туполєва,44.0
*** not found,91.0
Дніпровська,28.0
Перемоги,56.0
Івана Федорова,0.0
Братиславська,100.0
*** not found,82.0
Червоноткацька,122.0
Златоустівська,45.0
Бойченка,75.0
Трускавецька,34.0
Каховська,46.0
Лобановського,100.0
*** not found,99.0
Курчатова,75.0
Голосіївська,62.0
Тираспольська,76.0
Лаврська,210.0
Правди,33.0
Миколайчука,0.0
Порика,62.0
Червоноткацька,0.0
Маккейна,110.0
Йорданська,51.0
Тютюнника,44.0
Регенераторна,91.0
Зарічна,28.0
Заболотного,56.0
Курнатовського,0.0
Інститутська,100.0
Маланюка,82.0
Гречка,122.0
Липківського,45.0
Маккейна,75.0
Григоренка,34.0
Коновальця,46.0
Закревського,100.0
*** not found,99.0
Старонаводницька,75.0
Маланюка,62.0
Заньковецької,72.0
Кудрявська,0.0
,159.0
Українки,76.0
,0.0
Милославська,44.0
Донця,95.0
Верховинця,240.0
Героїв Дніпра,36.0
Каховська,50.0
Каховська,71.0
Вишняківська,0.0
Липська,0.0
Сверстюка,123.0
Драгомирова,74.0
Причальна,81.0
Болсуновська,43.0
Повітрофлотський,84.0
